Field,Method1,Method2,Correlation,Cosine,MSE
mvgc_open_healthy_avg,brain_source,source,0.904282948602478,0.986389077631204,0.0842212550091525
mvgc_open_healthy_avg,brain_source,pca,-0.597528688960056,0.831294347213218,0.0303581023149492
mvgc_open_healthy_avg,brain_source,region,-0.677142267683173,0.856284092378852,0.0349703287728491
mvgc_open_healthy_avg,source,pca,-0.393288458038608,0.885576079713706,0.210302943025505
mvgc_open_healthy_avg,source,region,-0.454684488679745,0.906172455046743,0.223304692381529
mvgc_open_healthy_avg,pca,region,0.549062906759105,0.971537095900675,0.000264550683468096
mvgc_closed_healthy_avg,brain_source,source,0.897578261581069,0.984376760372563,0.103730021883079
mvgc_closed_healthy_avg,brain_source,pca,-0.470935407671055,0.83578413818734,0.0372164979703646
mvgc_closed_healthy_avg,brain_source,region,-0.543045672649221,0.856119877896848,0.0429390070220781
mvgc_closed_healthy_avg,source,pca,-0.260805550849022,0.896560661618833,0.257611656047167
mvgc_closed_healthy_avg,source,region,-0.401367026214266,0.908151354800734,0.273895680911579
mvgc_closed_healthy_avg,pca,region,0.252685810057092,0.948172874462351,0.000337183571085359
mvgc_open_depressed_avg,brain_source,source,0.925221220891248,0.983452326637139,0.0728015078105507
mvgc_open_depressed_avg,brain_source,pca,-0.610149151386855,0.83030746769438,0.0315210578895307
mvgc_open_depressed_avg,brain_source,region,-0.414470922137804,0.846693991853246,0.0362672333101053
mvgc_open_depressed_avg,source,pca,-0.450995125877046,0.901653576496504,0.193491999745914
mvgc_open_depressed_avg,source,region,-0.2680685152746,0.911833067736714,0.206361756686993
mvgc_open_depressed_avg,pca,region,0.42677508295202,0.964324468275982,0.000270103547215636
mvgc_closed_depressed_avg,brain_source,source,0.866146878873459,0.977648305184593,0.0816347902983193
mvgc_closed_depressed_avg,brain_source,pca,-0.356970230487509,0.842139603242261,0.0468070568888283
mvgc_closed_depressed_avg,brain_source,region,-0.406624063702123,0.845272054034742,0.0538611055919646
mvgc_closed_depressed_avg,source,pca,-0.127242971201989,0.912248090348255,0.240141597371804
mvgc_closed_depressed_avg,source,region,-0.325792372279587,0.904251848899486,0.257603954039408
mvgc_closed_depressed_avg,pca,region,0.365043247305917,0.952658248159721,0.000390101650069009
mvgc_open_avg,brain_source,source,0.915447469376744,0.985277012935408,0.0782673670398642
mvgc_open_avg,brain_source,pca,-0.62340042143994,0.832577443626062,0.0309217631529256
mvgc_open_avg,brain_source,region,-0.593014497343132,0.856074524638738,0.0356014237577431
mvgc_open_avg,source,pca,-0.440310121494708,0.895368596967175,0.20167358142085
mvgc_open_avg,source,region,-0.401456426565924,0.913897861259878,0.214606633962133
mvgc_open_avg,pca,region,0.541921893872498,0.974687368953984,0.000264975956212914
mvgc_closed_avg,brain_source,source,0.884236951427225,0.981303182216905,0.0921487631493436
mvgc_closed_avg,brain_source,pca,-0.418868130707224,0.839722174163716,0.0418605218906536
mvgc_closed_avg,brain_source,region,-0.489054680621201,0.853119749296599,0.0482288722524549
mvgc_closed_avg,source,pca,-0.197270986464923,0.905588101829839,0.248724086691505
mvgc_closed_avg,source,region,-0.379149573471044,0.908795609581637,0.265609323533793
mvgc_closed_avg,pca,region,0.335051289393308,0.954384541611205,0.00036139018348323
mvgc_healthy_avg,brain_source,source,0.901393975521445,0.98543159771618,0.0936771723749552
